id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37738,(Andersonville - Perfect location!),162364,Mat	And	Randy,,Uptown,41.97384553,-87.66538939,Private room,74,3,240,10/29/18,2.37,1,234
39742,(Central guestroom! Walk everywhere!),170758,Eric,,Near North Side,41.8937749,-87.63465211,Private room,75,3,452,10/21/18,4.59,1,17
44020,(2 Bedroom 1 Block to Fullerton L - Garage Avail),101521,Red,,Lincoln Park,41.9267303,-87.65730729,Entire home/apt,80,32,50,10/1/17,0.57,4,235
46151,( Furnished Junior 1 Bedroom :SW1R),87231,Jeff And JoAnne,,Lincoln Park,41.91330636,-87.63964488,Entire home/apt,75,1,223,10/27/18,2.24,17,85
46154,(Old Town Lincoln Park studio: 2F),87231,Jeff And JoAnne,,OHare,41.91287206,-87.63978767,Entire home/apt,65,1,219,10/21/18,2.21,17,75
49893,(1 Bedrm 1 block from Wrigley Field),87231,Jeff And JoAnne,,Lake view,41.9491833,-87.65845859,Entire home/apt,70,1,257,10/29/18,2.6,17,45
53497,(#Wrigley 2 BD /2 Bath Duplex: OD2F),87231,Jeff And JoAnne,,Lake view,41.9354095,-87.66711359,Entire home/apt,95,1,75,10/28/18,0.76,17,54
56802,(Beautiful 2 BR Old Town Lincoln Pk),87231,Jeff And JoAnne,,Lincoln Park,41.91264188,-87.63979374,Entire home/apt,155,1,243,10/22/18,2.53,17,50
71930,"(Rest, Relax and Explore)",334241,Michael And Veronica,,West Town,41.89686555,-87.67988892,Private room,57,4,50,10/28/18,0.55,2,137
79101,(5 ST?R Cubs/Riviera/AragonTRAIN2Bdrms/Ba),272671,Two For The Road,,Uptown,41.96792406,-87.65756861,Private room,180,2,146,10/14/18,1.57,4,365
80640,(charming Logan Sqare 2bdrm greystone on Blue Line),376916,Dean,,Logan Square,41.92462101,-87.70468435,Entire home/apt,155,2,50,10/21/18,0.57,1,362
84042,(The Explorer Room),334241,Michael And Veronica,,West Town,41.89693077,-87.68032886,Private room,57,3,47,10/30/18,0.51,2,167
110705,(Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/),272671,Two For The Road,,Uptown,41.96930174,-87.65621311,Private room,99,2,131,11/11/18,1.44,4,360
126280,"(Near Lake, Wrigley and Weiss Hospital)",626517,Gail,,Uptown,41.96803815,-87.65122779,Private room,48,3,137,10/15/18,1.52,1,214
131096,(Reliable Host + Comfy Double Bed),645234,Carol,,Avondale,41.93361219,-87.71976646,Private room,80,4,91,8/13/18,2.52,1,0
144840,(Great 3 Bedroom in Great Wrigley/Lakeview Location),701615,Daniel,,Lake view,41.9407942,-87.65763171,Entire home/apt,225,2,2,10/9/18,0.06,1,284
145659,(Trendy Roscoe Village 3BR/2BR walk to shops),683529,Joe,,North Center,41.94363982,-87.68154739,Entire home/apt,275,2,11,10/16/18,0.29,20,362
145690,(4BR/2BR Walk to North Ave Beach & Zoo~Close to El),683529,Joe,,Lincoln Park,41.91350805,-87.63929446,Entire home/apt,475,2,35,10/9/18,0.83,20,354
165952,"(Two Bedroom, One Bathroom Apartment)",791089,Conrad,,Lake view,41.94274277,-87.67321401,Entire home/apt,198,3,58,10/14/18,0.65,4,365
166667,(Cozy Garden Studio ),791089,Conrad,,North Center,41.9427444,-87.67377761,Entire home/apt,125,3,77,10/29/18,0.86,4,365
166706,"(Three Bedroom, Two Bathroom Combo Apartment)",791089,Conrad,,Lake view,41.94221334,-87.6732679,Entire home/apt,280,3,21,7/10/17,0.24,4,365
172616,(ALONZO:  Art-filled Flat in the Ukrainian Village),3908,Layne,,West Town,41.89752659,-87.67315488,Entire home/apt,145,3,56,7/30/18,0.63,1,228
175511,(1BR/1BA Suite in Chicago),837429,Petru,,Irving Park,41.96011818,-87.72157979,Entire home/apt,67,2,19,10/29/18,0.22,2,287
184764,(Room w/private bath -kid friendly),886362,Julie,,Portage Park,41.94325158,-87.75403381,Private room,85,3,159,10/28/18,1.8,1,285
189821,(Private Apartment Hip Logan Square),899757,Meighan,,Logan Square,41.92972929,-87.70119754,Entire home/apt,125,2,397,11/12/18,4.55,1,237
192652,(Urban Oasis--Wicker Park Vintage),906713,Stephanie,,West Town,41.9013595,-87.679734,Private room,70,2,304,10/29/18,3.44,2,154
207218,(Historic Pullman Artist Flat),1019125,Jb,,Pullman,41.68830467,-87.60892493,Entire home/apt,90,1,233,11/4/18,2.66,1,358
221109,(1 Bedroom Apartment -Noble Square),1146738,Zeyna,,West Town,41.89272704,-87.65653716,Entire home/apt,115,4,108,10/27/18,1.25,1,90
223777,(Bohemiam Bedroom in Hip 'Hood),1163561,Elizabeth And Mike,,West Town,41.90121895,-87.69640926,Private room,70,1,39,6/24/18,0.62,1,359
225314,(Cozy & comfy with AC close to California Blue Line),1173654,Jillian,,Logan Square,41.92542935,-87.69592682,Private room,75,2,18,9/16/17,0.23,1,358
228273,(Amazing Lincoln Park Location!!),1190842,Brandon,,O?Hare,41.9312564,-87.65227338,Private room,109,2,51,10/8/18,0.59,1,354
230836,(Huge Bedroom with pvt marble bath),1185573,Graz Anton,,Uptown,41.96331169,-87.66088494,Private room,125,365,4,6/13/13,0.06,3,365
233933,(BROWN ROOM W/PRIVATE BATH-WALK TO TRAIN),1224828,Tippi,,Irving Park,41.95602263,-87.72780856,Private room,45,2,132,10/28/18,1.53,2,356
234442,(Beautifully Furnished Studio SW2R),87231,Jeff And JoAnne,,Lincoln Park,41.91336569,-87.63918044,Entire home/apt,85,1,199,10/14/18,2.3,17,54
236792,(Modern Luxury Condo in Lakeview),1241447,Dana,,Uptown,41.9593949,-87.65440933,Entire home/apt,165,3,53,10/28/18,0.77,1,364
241514,(Gay friendly apartment in Chicago),1267472,Pedro,,Edgewater,41.99075202,-87.66556963,Private room,55,2,141,9/11/18,1.65,1,124
242751,(Junior 1 bedroom in Old Town :SW1F),87231,Jeff And JoAnne,,Lincoln Park,41.91290649,-87.63838881,Entire home/apt,75,1,235,10/27/18,2.75,17,80
248791,(Quiet Bedroom/ARAGON/Train),272671,Two For The Road,,Uptown,41.96797301,-87.65791273,Private room,90,2,93,11/3/18,1.09,4,362
250354,(Close to Michigan Ave and parks),1311953,Ronald,,Near South Side,41.86050783,-87.62398901,Entire home/apt,170,180,39,4/25/18,0.46,1,352
258253,(Newly Constructed Studio Apartment Unit 4),1358243,June,,West Ridge,42.00692144,-87.68437535,Entire home/apt,48,31,17,11/4/18,0.2,1,358
261509,(You'll love Chicago! Guaranteed!),858008,Kassie,,Near North Side,41.90314235,-87.63493569,Entire home/apt,149,32,61,8/27/18,0.75,1,360
265238,(Bohemian Chic in the heart of Lincoln Square),1382472,Ani,,North Center,41.96084084,-87.68462971,Entire home/apt,75,90,0,,,1,211
267299,(Family Style Home-walk to Aragon/Riviera),272671,Two For The Road,,Uptown,41.96924262,-87.65807228,Entire home/apt,750,1,16,4/25/14,0.19,4,357
267646,(Logan Square Classic Bungalow),1313038,Mark,,Logan Square,41.92716147,-87.70470573,Private room,97,2,127,10/15/18,1.5,1,363
272728,(Quiet room in Quiet neighborhood!),1426804,Afri,,Chatham,41.72762917,-87.6130718,Private room,40,2,209,8/26/18,2.51,1,170
275496,(Downtown 3BR/2BA Loft & Amazing River View),1142145,Jim,,Near West Side,41.88622735,-87.64040211,Entire home/apt,175,360,10,11/8/14,0.19,1,364
289689,"(30 Day+ Med student, interns & interim stays.)",1376077,Killian,,Edgewater,41.97793863,-87.6576357,Private room,25,30,56,9/22/18,0.67,1,216
289884,(Sunny Carriage House w/ Private Bathroom & Laundry),1500490,Hailey,,Logan Square,41.92410783,-87.68525131,Private room,125,2,78,9/30/18,1,1,365
290155,(Free Nights.  Minutes to McCormick Place And City),1505878,Bob,,Bridgeport,41.82701785,-87.63966882,Entire home/apt,131,3,33,10/14/18,0.4,2,9
298321,(nice room with king size bed),1537881,Marko,,Woodlawn,41.78215833,-87.59026583,Private room,39,2,44,9/24/18,0.55,1,361
308331,"(Charming, Cozy and Comfortable Condo)",1546210,Dawn,,Edgewater,41.98566814,-87.6604964,Private room,65,1,34,11/11/18,1.34,1,357
312192,(Free Nights.  Near Everything and McCormick Place),1505878,Bob,,Bridgeport,41.82767016,-87.63959057,Entire home/apt,142,3,27,10/10/18,0.56,2,90
313227,(WHOLE PRIVATE FLOOR near Train),259284,Cheryl,,Albany Park,41.96331303,-87.70915598,Entire home/apt,85,3,47,7/17/17,0.58,1,313
325842,(Lincoln Park Sunny Modern Home),1666599,Caroline,,Lincoln Park,41.92026289,-87.6589159,Entire home/apt,379,6,25,9/22/18,0.31,1,358
345075,"(Spacious, Vintage Hyde Park Apt.)",1746524,Patricia,,Kenwood,41.8077042,-87.59435759,Private room,85,2,213,10/28/18,2.64,1,346
349265,(Historic Chicago Home - Hyde Park),1517871,Jon,,hyde park,41.8008596,-87.58948398,Entire home/apt,375,7,8,9/17/18,0.1,2,342
350347,(Lounge in a Luxury Loft near Wrigley Field),845242,Jay And Elisa,,Lake view,41.9398563,-87.65472987,Entire home/apt,136,3,400,11/8/18,4.9,1,227
372929,(Lux Urban 3BR/3BA Duplex + Parking!),1876597,The Adventurers,,West Town,41.89862159,-87.65597415,Entire home/apt,295,1,179,11/4/18,2.45,2,347
387336,(Lincoln Park Oasis - Unit 1 ONLY),15365,Reem,,Lincoln Park,41.92911991,-87.65957776,Entire home/apt,230,4,53,10/9/18,0.69,2,362
395257,(Trains to downtown. McCormick. IIT.),1385332,Patt,,Douglas,41.82869303,-87.62057772,Private room,40,1,11,10/14/18,0.18,8,175
397472,"(1 min to Lake,30 min to Downtown, free parking)",782802,Joe,,Rogers Park,42.01454766,-87.66510666,Entire home/apt,71,1,321,11/12/18,6.79,2,12
404792,(Eclectic 2BR w/ Vintage Charm),1844352,Christine,,West Town,41.88912969,-87.66763217,Entire home/apt,130,4,174,10/22/18,2.25,1,16
408267,"(Cozy Room, Classic Chicago House)",2032839,Patricia,,Rogers Park,42.01855143,-87.6678223,Private room,45,2,49,6/11/18,0.61,2,359
408268,(Private Room near Lake and Train),2032839,Patricia,,Rogers Park,42.01815148,-87.6683673,Private room,45,2,60,8/9/18,0.78,2,364
412182,(Spacious + Convenient Logan Square One-bed Apt),2052009,Sarah,,Logan Square,41.91891127,-87.69902166,Entire home/apt,90,2,110,10/31/18,1.38,1,356
422214,(*Wicker Park*2 units*Sleeps 6-18*By train/downtown),1802802,Niki,,West Town,41.89843164,-87.66659355,Entire home/apt,250,2,114,11/4/18,1.44,1,361
446474,(Vintage Ukrainian Village Apt!),2217180,Yuri,,West Town,41.90095192,-87.68181154,Entire home/apt,175,3,4,8/15/15,0.05,1,313
450648,(Luxury Space - Come & Relax),2204693,Dl,,Near South Side,41.86614375,-87.62275057,Private room,119,3,38,6/21/18,0.48,1,24
464581,"(Large, Private Logan Square Studio)",2308792,Jonathan,,Logan Square,41.92450711,-87.6938524,Entire home/apt,49,1,525,10/29/18,6.92,2,80
477733,(PilsenArtsDist/UIC/McCormickPlace),2367351,Leila,,Lower West Side,41.85329393,-87.66539433,Entire home/apt,200,2,161,11/11/18,2.05,1,242
479086,(Hostel Earphoria),337459,Earphoria,,Avondale,41.93244952,-87.71528138,Shared room,20,1,153,10/12/18,1.94,1,365
484898,(Charming 1906 cottage Northside),2400107,Allison,,Uptown,41.97053392,-87.67266978,Entire home/apt,225,3,14,6/11/18,0.18,1,0
488097,(Chicago room minutes from Downtown),2414938,Sara,,West Town,41.9117341,-87.67310427,Private room,60,3,14,8/26/18,0.49,1,240
496809,"(Spacious Room with plush King Bed, Rogers Park)",2453507,Estelle,,Rogers Park,42.0043515,-87.67500775,Private room,85,3,36,8/28/18,0.63,3,364
507517,(Private Lincoln Square Garden Apt),2501182,Nate,,Lincoln Square,41.96713685,-87.69610722,Entire home/apt,95,2,246,11/4/18,3.18,1,346
537419,(Groovy on the Lake  private bd/bth),919011,Jacqueline,,Lake view,41.94286416,-87.63919089,Private room,130,1,28,10/20/15,0.36,2,365
542067,(Logan Square Modern Vintage Garden),2273840,Sarah,,Logan Square,41.93065451,-87.70088542,Entire home/apt,140,2,238,11/12/18,3.06,1,300
548905,(Home Away From Home),2698691,Leo,,Grand Boulevard,41.82292602,-87.61558983,Entire home/apt,75,2,205,10/28/18,2.72,1,196
555140,"(Vintage, Cozy & Fun!)",869291,Robert,,West Town,41.90599986,-87.69500651,Entire home/apt,115,3,201,10/29/18,2.63,1,357
573540,(Drop-dead fab on the Lake  2bd/2bth),919011,Jacqueline,,Lake view,41.94284298,-87.63918952,Entire home/apt,490,1,35,9/21/15,0.46,2,365
584590,"(Spacious Bedroom, steps to El train)",2880338,Elizabeth,,Lincoln Square,41.9636434,-87.6838246,Private room,75,1,42,8/21/18,0.55,4,90
585353,(Great neighborhood! Price Drop *),2885441,Tracy,,West Town,41.88956211,-87.66267336,Private room,52,1,110,11/11/18,1.43,5,364
585356,"(Price Drop! Great Deal, Great area!)",2885441,Tracy,,West Town,41.8899816,-87.66239843,Private room,74,1,111,11/11/18,1.45,5,365
589871,(Beautiful House for rent Edgebrook),2824576,Jeff,,Forest Glen,41.9932438,-87.75699454,Entire home/apt,225,3,7,10/8/18,0.12,3,349
611839,"(Stylish, comfortable room in nice Duplex)",3034693,Daniela,,North Center,41.93537398,-87.67946487,Private room,42,1,113,11/10/18,1.72,1,255
628149,(Price drop! Affordability+Location!),2885441,Tracy,,West Town,41.89051757,-87.66085293,Private room,41,1,70,11/11/18,0.93,5,361
629745,"(Warm, bright 2br/2ba in West Town!)",2445249,Gary And Cassie,,West Town,41.89375425,-87.66545245,Entire home/apt,129,2,201,4/24/18,2.63,1,0
634310,(The Stained Glass Apt. Edgewater #1),2915265,Felice,,Edgewater,41.99666559,-87.6621306,Private room,65,2,77,9/24/18,1.02,2,335
640841,(Lakeview Urban Oasis with Huge Rooftop Deck),3200044,James,,Lake view,41.94241592,-87.67134394,Entire home/apt,200,3,16,10/21/18,3.04,1,166
642053,(Garden Apartment),81779,Laura,,West Town,41.90567432,-87.67311053,Private room,199,2,8,10/4/18,0.11,11,255
642065,(Bucktown Apartment),81779,Laura,,West Town,41.90686277,-87.67318815,Private room,249,2,30,10/21/18,0.51,11,340
650894,(Premium Condo-Gold Coast-Water View),3269423,Gregory,,Near North Side,41.90959271,-87.62541146,Entire home/apt,249,4,11,10/10/18,0.15,2,363
651742,(Edgebrook Lg bdr by golf course),2824576,Jeff,,Forest Glen,41.9924364,-87.75569095,Private room,75,2,50,10/29/18,0.71,3,363
662034,(Edgebrook bdr by golf course),2824576,Jeff,,Forest Glen,41.9920131,-87.75719426,Private room,65,2,49,10/29/18,0.77,3,349
668262,(Lux Living with Lake View and Pool),3382417,Heather And Mehran,,Lincoln Park,41.93173074,-87.65047216,Private room,99,2,10,11/5/18,0.25,2,25
675641,"(Posh Flat, 20 Mins to Downtown.)",3230291,David,,Lake view,41.94301272,-87.65064139,Private room,54,2,321,10/28/18,4.31,4,193
696395,"(Sunny Room in Cinema, Noble Square)",3566231,Christy,,West Town,41.90112109,-87.66521321,Private room,75,2,21,8/15/16,0.32,1,0
697634,"(2 BD Condo by downtown,park,lake)",3574415,Marv,,Near North Side,41.90302315,-87.63498932,Entire home/apt,99,31,148,8/23/18,2.26,2,332
699284,(Your Sweet Chicago Home),3586103,Judy,,Lincoln Park,41.92929141,-87.64894838,Entire home/apt,800,3,42,7/23/18,0.57,1,358
709870,(Off the Beaten Path on Harding Ave),3179866,Gonzalo And Nora,,Humboldt Park,41.89999508,-87.72140546,Entire home/apt,99,3,98,10/3/18,1.32,1,365
713431,(Large Private 3 Bedroom Apartment),718347,Laura And Jeremy,,West Town,41.90893541,-87.69213282,Entire home/apt,119,1,289,10/26/18,3.89,3,224
722570,(Modern & Cozy Lincoln Square Condo!),3731751,Kristi,,Lincoln Square,41.97483913,-87.69196443,Entire home/apt,139,1,24,10/8/18,0.33,1,305
724656,(*LovelyBrightRoom#1*in*CentralApt*),3745670,Poppy,,West Town,41.90018914,-87.6986225,Private room,35,1,163,10/31/18,4.11,2,257
724895,(Close to Chicago music Festivals!!!),2885441,Tracy,,West Town,41.88994893,-87.66095577,Private room,44,1,107,10/28/18,1.45,5,362
726376,"(Spacious Studio, Amazing Location!)",2658212,James,,Lake view,41.93932075,-87.6521778,Entire home/apt,85,1,519,11/11/18,7.03,5,81
727847,(Palmer Treehouse - Bedroom 2),62150,K.Anne,,Logan Square,41.92254736,-87.70292721,Private room,60,2,65,10/28/18,0.89,3,365
731232,(Logan Square-Chicago Prime Location-Longer Stays),3804977,Paul And Nancy,,Logan Square,41.9266907,-87.6990017,Entire home/apt,150,3,112,10/29/18,1.52,1,353
739495,(Lovely 2 bedroom in Lincoln Square ),3867687,Janet,,Lincoln Square,41.97846957,-87.68086543,Entire home/apt,99,4,155,10/20/18,2.39,1,253
753809,(LUXURY LOOP w/Balcony GYM & SPA by Millennium Park),3965428,Rob,,L??p,41.88624059,-87.61565591,Entire home/apt,94,31,13,8/15/15,0.18,16,365
764856,(Stunning Downtown Artist Loft (West Loop)),2619611,Andrew,,Near West Side,41.88722108,-87.64993125,Entire home/apt,159,2,151,10/28/18,2.07,2,143
773127,(Comfy Room & Bike in Roscoe Village),4009750,Matt,,North Center,41.94994021,-87.6819956,Private room,84,2,128,6/4/17,1.75,2,318
780336,(Private Room in designer apartment in Wicker Park),2343614,Daniela,,West Town,41.89854375,-87.67446623,Private room,70,2,165,10/29/18,2.45,2,57
783359,(Modern Boystown/Wrigleyville 1 BDRM),4129040,Michael,,Lake view,41.94884279,-87.64904622,Entire home/apt,103,2,11,1/1/18,0.3,1,0
789429,(Guest bedroom with private bath),1185573,Graz Anton,,Uptown,41.96192645,-87.66237728,Private room,99,365,0,,,3,365
789670,(Spacious space in Bucktown 10 min. from the loop),4161186,Christine,,Logan Square,41.91660636,-87.67159119,Private room,225,1,0,,,1,365
789867,(Beautiful Private Room Near CTA With Free Parking),2782694,Cameron,,Lincoln Square,41.9641318,-87.67595081,Private room,20,2,169,10/27/18,2.5,1,78
790016,(Italian style in elegant apartment),1185573,Graz Anton,,Uptown,41.96045928,-87.66345812,Entire home/apt,299,365,16,8/18/13,0.22,3,365
790934,(04. Pullout sofa bed in common room),2907254,Joe,,West Ridge,42.01562199,-87.68818364,Shared room,70,1,133,6/22/18,1.83,16,90
822313,(Apt. for 4 - 15 minutes from Loop!),4193348,Dani And Dave,,Lower West Side,41.85306425,-87.68209078,Entire home/apt,60,3,131,11/12/18,1.9,1,43
824518,"(Cozy, Beautiful & Vintage Drenched)",2655877,Bret,,West Town,41.90212918,-87.67598206,Entire home/apt,119,30,87,10/31/18,1.24,1,347
834943,(Lincoln Square 2 Bedroom Condo - Welles Park View),4367266,Christopher,,Lincoln Square,41.96164109,-87.6833441,Entire home/apt,90,3,16,10/29/18,1.78,1,352
861786,(CityCondo/Museums/Lake/UIC),4515790,Lucero And Ray,,Near West Side,41.86694414,-87.65350108,Private room,65,2,257,10/8/18,3.72,1,15
863120,(Cozy Private Room in a unique Chicago Penthouse),4525503,Nejla Yatkin And Enki,,Lincoln Park,41.92169542,-87.65958632,Private room,85,2,72,11/11/18,1.11,1,244
873628,"(River West, Grand Blue Line Stop)",4611613,Russ,,West Town,41.89396863,-87.6497538,Private room,150,3,81,10/7/18,1.21,1,173
887038,(Lincoln Park Apt - 1 Bedroom plus alcove & futon),101521,Red,,Lincoln Park,41.92630414,-87.65567284,Entire home/apt,150,32,36,5/26/17,0.54,4,365
903996,(Private Entrance/Steam Room Ensuite),4019426,Colleen,,Logan Square,41.9264933,-87.71379559,Private room,110,2,125,11/11/18,1.9,1,330
909096,(Playhouse Artsy Home with Rooftop Deck in Humboldt Park),4069585,Liz,,Humboldt Park,41.91105363,-87.70926949,Entire home/apt,400,1,184,10/18/18,2.63,13,320
918314,(Spacious 4 Bed Wicker Park Condo ),3636846,Quinn,,West Town,41.91138677,-87.68516766,Private room,50,360,0,,,1,362
927327,(Beautiful Home in Wicker Park),4989824,Jon,,West Town,41.90528687,-87.68346941,Entire home/apt,1250,1,25,10/24/18,0.37,1,355
929914,(Charming apartment in Old Town),5007980,Lynn,,Lincoln Park,41.91316111,-87.63813123,Entire home/apt,115,3,247,11/5/18,3.61,1,291
931105,(Modern Guest Bedroom Room in Designers House),5015135,Samantha,,East Garfield Park,41.88449048,-87.69659262,Private room,75,3,23,11/2/18,0.34,1,362
949514,(Modern Loft-Style Pad in Wicker!),5148353,Steven,,West Town,41.90677328,-87.66788036,Private room,75,3,114,11/5/18,1.64,1,0
960326,(Stay in a Designer Penthouse with Art Gallery),5228189,Matthew,,West Town,41.89504804,-87.65448849,Entire home/apt,302,1,197,11/11/18,2.97,4,125
979841,"(Huge Victorian near Loyola, Lake #1)",5076708,Lois And Eduardo,,Edgewater,41.99383635,-87.67036986,Private room,69,2,169,11/10/18,2.48,4,358
979926,"(Huge Victorian near Loyola, Lake #2)",5076708,Lois And Eduardo,,Rogers Park,42.0062318,-87.66794356,Private room,59,2,204,11/11/18,3.03,4,320
979942,"(Huge Victorian near Loyola, Lake #3)",5076708,Lois And Eduardo,,Rogers Park,42.00425793,-87.66692593,Private room,59,2,193,11/11/18,,4,346
983640,(Huge Victorian near Loyola 2bd Apt),5076708,Lois And Eduardo,,Rogers Park,42.00380766,-87.67082081,Entire home/apt,159,2,144,11/4/18,2.17,4,345
984850,"(Spacious, Eclectic Loft with Rooftop in Old Town)",5402236,Casey,,Near North Side,41.90465183,-87.63590814,Entire home/apt,749,2,88,9/16/18,1.28,5,359
1016539,(Family-Friendly 3-Bedroom Apartment),718347,Laura And Jeremy,,West Town,41.90659218,-87.6953817,Entire home/apt,119,1,253,10/21/18,3.74,3,309
1020810,(Beautiful Condo in Chicago),3843347,Andrea,,Near North Side,41.89430015,-87.62609288,Entire home/apt,100,30,24,6/20/18,0.35,3,363
1027405,(Chicago Women's Residence/ Paris Rm),5654677,Urban Art,,North Lawndale,41.854321,-87.70769386,Private room,45,2,6,7/31/16,0.14,4,0
1027463,(Chicago Women's ResidenceFlorenceRm),5654677,Urban Art,,North Lawndale,41.85423048,-87.7078428,Private room,45,2,6,9/16/18,0.16,4,89
1027741,(Chicago Women's Residence Midler Rm),5654677,Urban Art,,North Lawndale,41.85455481,-87.70768457,Private room,45,2,2,9/17/18,0.78,4,43
1032943,"(4 rms/6 beds, 2.5 baths, Lake Michigan & McCormick)",5684259,Marva,,Oakland,41.81995571,-87.59977836,Entire home/apt,250,2,168,11/11/18,2.53,1,327
1056430,(Charming space in Boystown/Lakeview),5830215,Albert And Antonio,,Lake view,41.94375728,-87.65163605,Private room,79,2,282,10/27/18,4.15,1,343
1080532,(Mid-Century mdn twnhs in Lakview),1838943,Sunnie/Randolph,,Lake view,41.93396049,-87.64108428,Entire home/apt,114,6,21,10/9/18,0.33,2,321
1083987,(MODERN LOFT Downtown FREE Pool/HotTub/Gym KING BED),3965428,Rob,,Near South Side,41.85278159,-87.6245315,Entire home/apt,85,31,20,10/15/17,0.3,16,287
1096191,(Studio at the Lake),6023157,Nataliya,,Uptown,41.97348881,-87.65334075,Entire home/apt,60,30,39,9/10/18,0.58,1,152
1101458,(Private Suite in Historic District),6050945,Seamus,,Austin,41.88654647,-87.77085898,Private room,55,1,170,10/13/18,2.54,1,266
1113259,(Private room in a cozy city condo),6109924,Nicole,,Rogers Park,42.01761346,-87.67986647,Private room,55,1,82,9/10/18,1.22,1,333
1129741,(Large modern apartment near CTA),4778146,Mila,,East Garfield Park,41.88281748,-87.72026421,Entire home/apt,80,7,0,,,1,0
1138252,(Gorgeous Lincoln Park walk up),4955989,Melissa,,Lake view,41.93749586,-87.65016589,Entire home/apt,375,13,5,1/21/18,0.18,1,365
1138514,(Great 1B Steps from Beach :)),6245550,Evelyn,,Rogers Park,42.00527305,-87.66405308,Entire home/apt,59,14,24,8/3/18,0.39,1,349
1141045,"(Posh Flat, Close to Downtown (No 2))",3230291,David,,Lake view,41.94664894,-87.65516897,Private room,54,2,310,10/22/18,4.64,4,226
1171860,"(Lincoln Park Studio, Great Value!)",2658212,James,,Lincoln Park,41.92628299,-87.64025891,Entire home/apt,50,1,432,11/4/18,6.62,5,93
1183249,"(Boystown Studio, Outstanding Value!)",2658212,James,,Lake view,41.93949541,-87.64483466,Entire home/apt,79,1,406,11/5/18,6.11,5,70
1185749,(3 Bedroom Charming Vintage Hideaway),1664593,Matt And Christy,,Near West Side,41.87086378,-87.68304776,Entire home/apt,99,3,261,11/12/18,3.93,1,84
1195259,(Wicker Park - Urban Homestead!),2899484,Jason,,West Town,41.91095,-87.67783247,Entire home/apt,135,4,166,10/20/18,2.5,2,352
1217096,(Designer Flat / Perfect Location),3230291,David,,Lake view,41.94673548,-87.64923681,Private room,95,2,287,10/30/18,4.36,4,220
1229238,(Two story family home),6705392,Mario,,Portage Park,41.94734815,-87.75761699,Entire home/apt,215,1,78,10/14/18,1.48,2,358
1229267,(Single/room share),6705392,Mario,,Portage Park,41.9455552,-87.75419342,Private room,50,1,8,8/5/17,0.15,2,365
1249397,(Spacious 3BD Home in Ravenswood),6808293,Jon,,Lincoln Square,41.97008926,-87.67423208,Entire home/apt,130,1,10,8/17/17,0.16,2,41
